system_number,dG_red,Solvent,Charge_gn,Charge_rd,UHF_gn,UHF_rd,SMILES_1,NumAtoms_1,mol
26,1.73,acetonitrile,1,0,1,0,CC=Cc1cccc(C)c1,22,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abc80>
176,0.71,acetonitrile,1,0,1,0,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],54,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abcf0>
127,-1.42,acetonitrile,0,-1,0,1,N#Cc1ccc(C=O)cc1,15,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abd60>
76,1.09,acetonitrile,1,0,1,0,CC(C)NC(C)C,22,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abdd0>
164,-1.7,acetonitrile,0,-1,0,1,N#Cc1ccccc1C#N,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abe40>
38,1.98,acetonitrile,1,0,1,0,C=C(C)C=C(C)C,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abeb0>
40,2.1,acetonitrile,1,0,1,0,CC(C)=CCO,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abf20>
16,1.54,acetonitrile,1,0,1,0,c1ccccc1,12,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abf90>
50,1.43,acetonitrile,1,0,1,0,Cc1ccc(O)cc1C,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab660>
132,-1.91,acetonitrile,0,-1,0,1,C(=Nc1ccccc1)c1ccccc1,25,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88b00b0>
56,1.43,acetonitrile,1,0,1,0,COc1ccccc1OC,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88b0120>
