system_number,dG_red,Solvent,Charge_gn,Charge_rd,UHF_gn,UHF_rd,SMILES_1,NumAtoms_1
265,-0.96,water,-1,-2,3,4,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.O.O.O.[Cr].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],43
197,-0.81,acetonitrile,1,0,3,2,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[Cr].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],51
258,0.02,water,0,-1,0,1,C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ti],33
237,-0.43,acetonitrile,0,-1,5,4,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.O.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],43
293,-1.36,dmf,1,0,0,1,C.C.C.C.C.C.C.C.C.C.C.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],23
281,1.19,water,2,1,2,5,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.N.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Mn],53
240,1.5,water,3,2,4,5,O.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Mn],19
206,0.95,water,3,2,1,2,C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ni],49
235,-1.57,acetonitrile,0,-1,3,4,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.O.[Cr].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],43
213,1.81,acetonitrile,3,2,1,2,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ni],61
313,1.39,acetonitrile,3,2,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ru],61
249,-0.53,dichloromethane,-2,-3,4,5,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.S.S.S.S.S.S.[Fe],37
276,0.54,water,-1,-2,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],29
300,-2.5,acetonitrile,0,-1,5,4,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Mn],51
263,1.29,water,-1,-2,1,2,C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ni],33
236,0.15,acetonitrile,0,-1,4,5,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Mn],43
200,-1.24,acetonitrile,1,0,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],51
226,1.12,water,3,2,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],61
215,0.46,dichloromethane,1,0,2,5,B.B.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.N.N.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Mn],53
194,-1.28,water,-3,-4,3,2,C.C.C.C.C.C.N.N.N.N.N.N.[Cr],13
227,0.31,water,3,2,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],61
222,-0.02,water,3,2,3,2,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Cr].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],67
232,0.01,water,-3,-4,5,4,C.C.C.C.C.C.O.O.O.O.O.O.O.O.O.O.O.O.[Fe],19
278,0.6,water,-2,-3,1,0,C.C.C.C.C.N.N.N.N.N.N.O.[Mn],13
247,-0.7,dichloromethane,-2,-3,3,4,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.S.S.S.S.S.S.[Mn],37
238,-0.11,acetonitrile,0,-1,0,3,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],43
